Sample,Lat,Long,Age,STD,Ref
KLB11,60.1135,-137.9286,140.2,9.7,Enkelmann et al 2017
D-50,62.982,-151.154,4.3,0.6,Fitzgerald et al 1995
D-9,62.983,-151.144,5,0.7,Fitzgerald et al 1995
D-19,63.052,-151.139,5.2,0.7,Fitzgerald et al 1995
D-15,63.062,-151.135,5.3,0.5,Fitzgerald et al 1995
D-43,63.068,-151.105,5.7,0.6,Fitzgerald et al 1995
D-22,63.046,-151.144,5.7,0.7,Fitzgerald et al 1995
D-42,63.064,-151.059,6.1,0.7,Fitzgerald et al 1995
D-17,63.057,-151.137,6.1,0.8,Fitzgerald et al 1995
D-18,63.055,-151.138,6.2,0.7,Fitzgerald et al 1995
D-69,62.74,-151.375,7.5,0.5,Fitzgerald et al 1995
D-35,63.072,-151.055,7.7,0.7,Fitzgerald et al 1995
D-33,63.073,-151.05,9.1,0.7,Fitzgerald et al 1995
D-29,63.074,-151.048,9.7,0.9,Fitzgerald et al 1995
D-31,63.074,-151.047,11.2,0.7,Fitzgerald et al 1995
D-68,62.75,-151.382,11.9,0.8,Fitzgerald et al 1995
D-37,63.075,-151.045,13,0.7,Fitzgerald et al 1995
D-39,63.07,-151.03,16.1,0.8,Fitzgerald et al 1995
D-67,62.744,-151.221,17.7,0.7,Fitzgerald et al 1995
D-63,62.671,-151.225,20.2,0.8,Fitzgerald et al 1995
D-61,62.647,-151.25,21.7,0.8,Fitzgerald et al 1995
D-62,62.662,-151.273,22.8,0.9,Fitzgerald et al 1995
D-65,62.637,-151.255,31.4,0.9,Fitzgerald et al 1995
D-64,62.684,-151.201,34.5,1.6,Fitzgerald et al 1995
1338-17,64.56949,-149.10292,7.79,6.48,Frohman 2014 Thesis
1338-12,64.858533,-147.673917,22.98,8.45,Frohman 2014 Thesis
1338-02,64.606233,-149.087883,28.35,4.09,Frohman 2014 Thesis
1338-04,64.761,-148.307917,32.66,7.61,Frohman 2014 Thesis
1338-05,64.7652,-148.326433,36.51,3.75,Frohman 2014 Thesis
1338-03,64.696883,-148.7634,37.04,14.83,Frohman 2014 Thesis
1338-15,64.877433,-148.03675,37.72,23.65,Frohman 2014 Thesis
1338-01,64.56955,-149.103833,38.17,39.62,Frohman 2014 Thesis
1338-07,64.802783,-148.002467,40.47,4.61,Frohman 2014 Thesis
1338-08,64.892433,-147.450367,47.31,19.3,Frohman 2014 Thesis
1338-10,64.705717,-148.64325,49.89,11.66,Frohman 2014 Thesis
1338-13,64.524383,-146.987533,67.96,31.88,Frohman 2014 Thesis
1338-16,64.885267,-148.012317,71.08,30.16,Frohman 2014 Thesis
1338-09,64.888117,-147.273983,84.69,37.5,Frohman 2014 Thesis
PWS06-3,59.9619,-147.6788,4.4,0.5,Haeussler et al 2015
PWS08-6,59.9619,-147.6788,4.4,0.5,Haeussler et al 2015
PWS11-4,59.9808,-147.5301,4.8,0.6,Haeussler et al 2015
03PH403A,61.61096,-152.35458,5.8,0.8,Haeussler et al 2015
PWS11-10,60.2229,-147.1256,6.3,0.6,Haeussler et al 2015
PWS08-16,61.1428,-147.833,6.5,0.8,Haeussler et al 2015
PWS08-21,61.1955,-147.7114,6.5,1.1,Haeussler et al 2015
PWS11-9,60.1979,-147.0832,6.7,0.6,Haeussler et al 2015
PWS10-13,59.8896,-147.7942,7.3,0.8,Haeussler et al 2015
PWS11-5,59.9959,-147.5823,7.4,0.5,Haeussler et al 2015
PWS11-6,59.9884,-147.6464,7.5,0.6,Haeussler et al 2015
PWS11-11,60.4118,-146.5495,7.5,0.7,Haeussler et al 2015
PWS11-3,59.9145,-147.6235,7.7,0.7,Haeussler et al 2015
03PH402A,61.60664,-152.36806,7.9,1.3,Haeussler et al 2015
PWS09-7,61.1849,-147.8733,8.4,1,Haeussler et al 2015
PWS09-8,61.0617,-148.0014,8.5,1.3,Haeussler et al 2015
PWS11-16,60.3522,-146.1938,8.7,1.4,Haeussler et al 2015
PWS11-15,60.2786,-146.5185,8.8,1.2,Haeussler et al 2015
PWS10-22,60.6124,-145.857,9.4,0.9,Haeussler et al 2015
PWS11-2,59.9024,-147.4415,9.7,0.9,Haeussler et al 2015
PWS10-14,60.3714,-147.152,9.8,0.9,Haeussler et al 2015
PWS08-12,61.051,-147.525,10,1,Haeussler et al 2015
PWS11-7,59.976,-147.4447,10.1,0.8,Haeussler et al 2015
PWS10-23,60.6034,-145.7414,10.3,1.1,Haeussler et al 2015
PWS06-12,60.8863,-148.7093,10.8,2,Haeussler et al 2015
PWS10-12,60.2319,-147.4893,11.2,1.1,Haeussler et al 2015
03PH405A,61.65242,-152.33069,11.2,5.8,Haeussler et al 2015
PWS10-15,60.344,-147.0334,11.3,1.1,Haeussler et al 2015
PWS10-16,60.3065,-146.906,11.4,1.1,Haeussler et al 2015
PWS11-8,59.9606,-147.3437,11.6,0.9,Haeussler et al 2015
03PH406A,61.65546,-152.31454,11.6,2.5,Haeussler et al 2015
PWS08-31,60.97,-148.1871,12,2.3,Haeussler et al 2015
PWS10-18,60.3907,-146.6646,12.3,1.1,Haeussler et al 2015
PWS11-14,60.3758,-146.5114,12.3,1.2,Haeussler et al 2015
PWS08-2,60.8465,-148.4285,12.4,1.5,Haeussler et al 2015
PWS08-24,61.0716,-148.1214,12.6,1.8,Haeussler et al 2015
PWS10-11,60.4301,-147.4135,13,1.2,Haeussler et al 2015
PWS08-12,61.0558,-148.2532,13.3,1.4,Haeussler et al 2015
PWS06-11,60.8734,-147.9294,13.8,1.6,Haeussler et al 2015
PWS10-19,60.4817,-146.6135,13.9,1,Haeussler et al 2015
PWS08-3,60.7864,-148.0963,15.4,1.6,Haeussler et al 2015
PWS06-10,60.81,-147.9706,15.4,1.9,Haeussler et al 2015
PWS08-5,60.883,-147.3648,16.4,3,Haeussler et al 2015
PWS10-8,60.7298,-147.4827,16.6,1.8,Haeussler et al 2015
03PH404A,61.62679,-152.33105,16.6,2.2,Haeussler et al 2015
PWS10-10,60.5199,-147.4052,17.8,1.7,Haeussler et al 2015
PWS11-1,59.8803,-147.347,18.7,2.3,Haeussler et al 2015
PWS08-6,60.9511,-147.4103,21.1,1.4,Haeussler et al 2015
PWS06-1,60.6668,-148.1871,21.5,2.5,Haeussler et al 2015
PWS10-9,60.6233,-147.4813,21.5,2.1,Haeussler et al 2015
03PH408A,61.67676,-152.28687,22.3,2.1,Haeussler et al 2015
03PH407A,61.6669,-152.30583,23,2,Haeussler et al 2015
01PH426A,61.73477,-152.07037,23.1,2.9,Haeussler et al 2015
03PH401A,61.58353,-152.39147,23.4,4.3,Haeussler et al 2015
PWS08-32,60.5113,-148.3691,23.5,3.5,Haeussler et al 2015
PWS06-5,60.0922,-147.9114,32.6,5.9,Haeussler et al 2015
02PH332A,61.66985,-152.08268,35.5,2.7,Haeussler et al 2015
PWS06-2,60.4672,-147.9635,36.6,3.2,Haeussler et al 2015
PWS06-9,60.7341,-147.9718,37.4,4.6,Haeussler et al 2015
PWS08-13,60.9136,-148.0062,10.7,1,Haeussler et al 2015
79AR010,61.433,-153.884,5.55,1.88,Lease 2018
92AR630,61.48,-154.055,7.86,1.06,Lease 2018
68AR235,61.71,-154.12,7.93,3.53,Lease 2018
13ATe318,61.439,-153.954,11.01,1.02,Lease 2018
13AJJ226,61.4863,-153.8898,13.3,4,Lease 2018
91AR445,61.642,-153.903,15.2,3.6,Lease 2018
91AR447,61.682,-153.918,16.3,3.5,Lease 2018
13ATe327,61.822,-154.118,17,1.6,Lease 2018
76DB296A,58.6583,-137.4869,0.81,0.39,Lease et al 2021
68APr77D,59.0025,-138.0242,1.3,0.3,Lease et al 2021
68APs57F,59.1967,-138.2117,2.4,0.6,Lease et al 2021
15PH-topsy,58.3919,-137.0746,5.16,0.63,Lease et al 2021
DF-5548,61.6858333333333,-147.8185,9.3,3.9,Little and Naeser 1989
DF-5555,61.6478333333333,-147.978333333333,17.5,6.5,Little and Naeser 1989
DF-5545,61.7763333333333,-148.497833333333,21.1,4.6,Little and Naeser 1989
DF-5553,61.7221666666667,-147.906,21.2,5.9,Little and Naeser 1989
DF-5541,61.755,-148.502,24.3,6.5,Little and Naeser 1989
DF-5536,61.6596666666667,-147.915166666667,26.8,3.3,Little and Naeser 1989
DF-5551,61.7163333333333,-147.843666666667,39,12,Little and Naeser 1989
01-53a,60.4181,-142.5119,3.4,1.2,Meigs et al 2008
02-31,60.2855,-141.764,3.8,0.9,Meigs et al 2008
01-39a,60.2625,-143.3121,4,1.3,Meigs et al 2008
01-48a,60.7911,-142.6368,5,2.4,Meigs et al 2008
01-19a,60.2926,-142.3558,5.5,2,Meigs et al 2008
01-43a,60.1809,-141.1756,5.7,2.3,Meigs et al 2008
01-36a,60.334,-142.601,5.8,2.4,Meigs et al 2008
01-32a,60.3434,-142.4418,6.2,2.2,Meigs et al 2008
01-34a,60.2134,-142.627,6.3,1.4,Meigs et al 2008
01-49a,60.6793,-142.534,13.3,1.3,Meigs et al 2008
99-2,60.7203,-142.5435,13.8,1.4,Meigs et al 2008
01-45a,60.6572,-142.4146,14.5,1.3,Meigs et al 2008
01-47a,60.7672,-142.6065,27.3,2.7,Meigs et al 2008
01-55,60.1866,-141.0804,28.7,4,Meigs et al 2008
01-41a,60.0592,-141.94,31.5,3.8,Meigs et al 2008
20TOT,62.2255,-142.4329,20.2,2.4,Milde 2014 Thesis
02TOT,62.27037,-142.54372,23.7,1.6,Milde 2014 Thesis
01TOT,62.26423,-142.52231,24.5,2.3,Milde 2014 Thesis
08TOT,62.24857,-142.51443,30.5,1.9,Milde 2014 Thesis
13TOT,62.24405,-142.5274,42.9,3.4,Milde 2014 Thesis
31TOT,62.219434,-142.516282,48.9,4.1,Milde 2014 Thesis
15TOT,62.23932,-142.53941,53.2,4.9,Milde 2014 Thesis
24TOT,62.2621,-142.52942,56,5.1,Milde 2014 Thesis
16TOT,62.23909,-142.49872,60.1,3.7,Milde 2014 Thesis
18TOT,62.23455,-142.55536,70.9,11.1,Milde 2014 Thesis
39TOT,62.2255,-142.4329,71.7,7,Milde 2014 Thesis
40TOT,62.24405,-142.5274,77.7,6,Milde 2014 Thesis
